n,wlci_sp,scientific_name,reference
1,pygmy rabbit,Brachylagus idahoensis,
2,mule deer,Odocoileus heminonus,
3,elk,Cervus elaphus,
4,pronghorn,Antilocapra americana,
5,greater sage-grouse,Centrocercus urophasianus,https://onlinelibrary.wiley.com/doi/pdf/10.1002/jwmg.337
6,boreal toad,Bufo boreas boreas,https://www.sciencebase.gov/catalog/item/4f4e4a49e4b07f02db623e5f
7,boreal chorus frog,Pseudacris maculata,https://www.sciencebase.gov/catalog/item/4f4e4a49e4b07f02db623e5f
8,tiger salamander ,Ambystoma tigrinum,https://www.sciencebase.gov/catalog/item/4f4e4a49e4b07f02db623e5f
9,columbia spotted frog,Rana luteiventris,https://www.sciencebase.gov/catalog/item/4f4e4a49e4b07f02db623e5f
10,flannelmouth sucker,Catostomus latipinnus,https://www.sciencebase.gov/catalog/item/4f4e4a82e4b07f02db64ab6e
11,bluehead sucker,Catostomus discobolus,https://www.sciencebase.gov/catalog/item/4f4e4a82e4b07f02db64ab6e
12,roundtail chub,Gila robusta,https://www.sciencebase.gov/catalog/item/4f4e4a82e4b07f02db64ab6e
13,quaking aspen,Populus tremuloides,https://www.sciencedirect.com/science/article/pii/S0378112716000189?via%3Dihub
14,subalpine fir,Abies lasiocarpa,https://www.sciencedirect.com/science/article/pii/S0378112716000189?via%3Dihub
15,lodgepole pine,Pinus contorta,https://www.sciencedirect.com/science/article/pii/S0378112716000189?via%3Dihub
16,douglas-fir,Pseudotsuga menziesii,https://www.sciencedirect.com/science/article/pii/S0378112716000189?via%3Dihub
17,sagebrush steppe,Artemisia tridentata vaseyana,https://www.sciencedirect.com/science/article/pii/S0378112716000189?via%3Dihub
18,limber pine ,Pinus flexilis,https://www.sciencedirect.com/science/article/pii/S0378112716000189?via%3Dihub
19,manzanita,Arctostaphylos patula,https://www.sciencedirect.com/science/article/pii/S0378112716000189?via%3Dihub
20,wyoming sagebrush,Artemisia tridentata  wyomingensis,https://doi.org/10.2111/REM-D-12-00056.1
21,greasewood,Sarcobatus vermiculatus,https://doi.org/10.2111/REM-D-12-00056.1
22,saltbush,Atriplex gardnerii,https://doi.org/10.2111/REM-D-12-00056.1
23,rabbitbrush,Chrysothamnus viscidiflorus,https://doi.org/10.2111/REM-D-12-00056.1
24,bluebunch wheatgrass,Pseudoroegneria spicata,https://doi.org/10.2111/REM-D-12-00056.1
25,needlegrass,Achmatherum contractum,https://doi.org/10.2111/REM-D-12-00056.1
26,brewer's sparrow,Spizella breweri,https://onlinelibrary.wiley.com/doi/full/10.1002/jwmg.123
27,sage sparrow,Amphispiza belli,https://onlinelibrary.wiley.com/doi/full/10.1002/jwmg.123
28,vesper sparrows,Pooecetes gramineus,https://onlinelibrary.wiley.com/doi/full/10.1002/jwmg.123
29,horned larks,Eremophila alpestris,https://onlinelibrary.wiley.com/doi/full/10.1002/jwmg.123
30,sage thrashers,Oreoscoptes montanus,https://onlinelibrary.wiley.com/doi/full/10.1002/jwmg.123
